LA,Value
Clackmannanshire,51400
Dumfries and Galloway,148790
East Ayrshire,121840
East Lothian,105790
East Renfrewshire,95170
Na h-Eileanan Siar,26830
Falkirk,160340
Highland,235540
Inverclyde,78150
Midlothian,91340
Moray,95520
North Ayrshire,133586
Orkney Islands,22190
Scottish Borders,115270
Shetland Islands,22990
South Ayrshire,112550
South Lanarkshire,319020
Stirling,94330
Aberdeen City,227560
Aberdeenshire,261470
Argyll and Bute,86260
City of Edinburgh,518500
Renfrewshire,177790
West Dunbartonshire,89130
West Lothian,182140
Angus,116040
Dundee City,148750
East Dunbartonshire,108330
Fife,371910
Perth and Kinross,151290
Glasgow City,626410
North Lanarkshire,340180
S,100%
I,0%
