"t","Population"
14,16
28,161
42,1700
56,14263
70,114367
84,894136
98,3162549
112,4482091
126,5363630
140,5896745
154,6205968
168,6383314
182,6482831
196,6539018
210,6570543
224,6588019
238,6597513
252,6602771
266,6605690
280,6609633
294,6626221
308,6700164
322,6852871
336,6934911
350,6987959
364,7018514
378,7050341
392,7125413
406,7310684
420,7772898
434,8891936
448,10356793
462,11087338
476,11505480
490,11722976
504,11832033
518,11885503
532,11911616
546,11923991
560,11929901
574,11932655
588,11933848
