"Start","End","Number"
0,14,0
14,28,15
28,42,193
42,56,1537
56,70,12456
70,84,99129
84,98,533559
98,112,638999
112,126,383574
126,140,220150
140,154,126121
154,168,70442
168,182,39875
182,196,22339
196,210,12433
210,224,6966
224,238,3842
238,252,2067
252,266,1172
266,280,844
280,294,2657
294,308,11694
308,322,41023
322,336,41542
336,350,22966
350,364,12671
364,378,8275
378,392,15123
392,406,38502
406,420,96873
420,434,239120
434,448,481142
448,462,379428
462,476,188372
476,490,91896
490,504,44349
504,518,21555
518,532,10365
532,546,4932
546,560,2320
560,574,1105
574,588,502
