"t","DS","Sex","Population"
10,"S","M",4985
20,"S","M",4361
30,"S","M",984
40,"S","M",124
50,"S","M",66
60,"S","M",45
70,"S","M",34
80,"S","M",37
90,"S","M",47
100,"S","M",35
10,"S","F",4920
20,"S","F",4578
30,"S","F",1730
40,"S","F",443
50,"S","F",318
60,"S","F",277
70,"S","F",241
80,"S","F",238
90,"S","F",238
100,"S","F",255
10,"I","M",24
20,"I","M",411
30,"I","M",2454
40,"I","M",1388
50,"I","M",570
60,"I","M",211
70,"I","M",74
80,"I","M",31
90,"I","M",9
100,"I","M",0
10,"I","F",5
20,"I","F",201
30,"I","F",1387
40,"I","F",616
50,"I","F",129
60,"I","F",41
70,"I","F",6
80,"I","F",3
90,"I","F",0
100,"I","F",0
10,"R","M",7
20,"R","M",109
30,"R","M",1584
40,"R","M",3572
50,"R","M",4347
60,"R","M",4739
70,"R","M",4950
80,"R","M",4947
90,"R","M",4785
100,"R","M",4924
10,"R","F",8
20,"R","F",144
30,"R","F",1782
40,"R","F",3948
50,"R","F",4515
60,"R","F",4777
70,"R","F",4626
80,"R","F",4802
90,"R","F",4749
100,"R","F",4909
